title,venue,topic,arxiv,doi,paper_url,code_url,formal_class,decision,directions
QoServe,ASPLOS 2026,serving + speculative decoding + MoE + generative efficiency,,,,,CANONICAL_HIGH_VALUE,BACKFILL_HIGH,LLM Serving; Speculative Decoding; MoE Systems / Accelerators
REPA: Reconfigurable PIM for the Joint Acceleration of KV Cache Offloading and Processing,ASPLOS 2026,KV cache / PIM acceleration,,10.1145/3779212.3790212,https://doi.org/10.1145/3779212.3790212,,CANONICAL_HIGH_VALUE,BACKFILL_HIGH,KV Cache / Long Context; Edge / Cloud / Heterogeneous AI
Shift Parallelism,ASPLOS 2026,serving + speculative decoding + MoE + generative efficiency,,,,,CANONICAL_HIGH_VALUE,BACKFILL_HIGH,LLM Serving; Speculative Decoding; MoE Systems / Accelerators; Distributed Training / Inference
"Shift Parallelism: Low-Latency, High-Throughput LLM Inference for Dynamic Workloads",ASPLOS 2026,serving + speculative decoding + MoE + generative efficiency,2509.16495,,https://arxiv.org/abs/2509.16495,,CANONICAL_HIGH_VALUE,BACKFILL_HIGH,LLM Serving; Speculative Decoding; MoE Systems / Accelerators; Distributed Training / Inference
SpeContext: Enabling Efficient Long-context Reasoning with Speculative Context Sparsity in LLMs,ASPLOS 2026,serving + speculative decoding + MoE + generative efficiency,2512.00722,10.1145/3779212.3790224,https://arxiv.org/abs/2512.00722,,CANONICAL_HIGH_VALUE,BACKFILL_HIGH,LLM Serving; Speculative Decoding; KV Cache / Long Context; Sparsity / Pruning; MoE Systems / Accelerators; Efficient Reasoning / Agents
SpecProto,ASPLOS 2026,serving + speculative decoding + MoE + generative efficiency,,,,,CANONICAL_HIGH_VALUE,BACKFILL_HIGH,LLM Serving; Speculative Decoding; MoE Systems / Accelerators
STARC: Selective Token Access with Remapping and Clustering for Efficient LLM Decoding on PIM Systems,ASPLOS 2026,sparse attention / PIM / KV cache,,10.1145/3779212.3790226,https://doi.org/10.1145/3779212.3790226,,CANONICAL_HIGH_VALUE,BACKFILL_HIGH,KV Cache / Long Context; Sparsity / Pruning; Efficient Attention; Distributed Training / Inference; Edge / Cloud / Heterogeneous AI
SwiftSpec: Ultra-Low Latency LLM Decoding by Scaling Asynchronous Speculative Decoding,ASPLOS 2026,speculative decoding / low-latency LLM serving,2506.11309,,https://arxiv.org/abs/2506.11309,,CANONICAL_HIGH_VALUE,BACKFILL_HIGH,LLM Serving; Speculative Decoding; GPU Kernel / DSL / Compiler
Taming the Long-Tail: Efficient Reasoning RL Training with Adaptive Drafter,ASPLOS 2026,reasoning RL training / speculative decoding / rollout systems,2511.16665,10.1145/3779212.3790231,https://arxiv.org/abs/2511.16665,,CANONICAL_HIGH_VALUE,BACKFILL_HIGH,Speculative Decoding; Efficient Reasoning / Agents
TetriServe: Efficiently Serving Mixed DiT Workloads,ASPLOS 2026,diffusion/DiT serving / scheduling,2510.01565,10.1145/3779212.3790233,https://arxiv.org/abs/2510.01565,,CANONICAL_HIGH_VALUE,BACKFILL_HIGH,LLM Serving; GPU Kernel / DSL / Compiler; Distributed Training / Inference; Diffusion / Flow Acceleration; Edge / Cloud / Heterogeneous AI
Towards High-Goodput LLM Serving with Prefill-decode Multiplexing,ASPLOS 2026,LLM serving / prefill-decode multiplexing,2504.14489,10.1145/3779212.3790236,https://arxiv.org/abs/2504.14489,,CANONICAL_HIGH_VALUE,BACKFILL_HIGH,LLM Serving; GPU Kernel / DSL / Compiler
TPLA: Tensor Parallel Latent Attention for Efficient Disaggregated Prefill & Decode Inference,ASPLOS 2026,MLA / tensor parallelism / KV cache / disaggregated inference,2508.15881,,https://arxiv.org/abs/2508.15881,,CANONICAL_HIGH_VALUE,BACKFILL_HIGH,LLM Serving; KV Cache / Long Context; Efficient Attention; Distributed Training / Inference
XY-Serve,ASPLOS 2026,serving + speculative decoding + MoE + generative efficiency,,,,,CANONICAL_HIGH_VALUE,BACKFILL_HIGH,LLM Serving; Speculative Decoding; MoE Systems / Accelerators
XY-Serve: End-to-End Versatile Production Serving for Dynamic LLM Workloads,ASPLOS 2026,serving + speculative decoding + MoE + generative efficiency,2412.18106,,https://arxiv.org/abs/2412.18106,,CANONICAL_HIGH_VALUE,BACKFILL_HIGH,LLM Serving; Speculative Decoding; MoE Systems / Accelerators
ZipServ,ASPLOS 2026,serving + speculative decoding + MoE + generative efficiency,,,,,CANONICAL_HIGH_VALUE,BACKFILL_HIGH,LLM Serving; Speculative Decoding; MoE Systems / Accelerators
ZipServ: Fast and Memory-Efficient LLM Inference with Hardware-Aware Lossless Compression,ASPLOS 2026,serving + speculative decoding + MoE + generative efficiency,2603.17435,,https://arxiv.org/abs/2603.17435,,CANONICAL_HIGH_VALUE,BACKFILL_HIGH,LLM Serving; Speculative Decoding; MoE Systems / Accelerators
OverFill: Two-Stage Models for Efficient Language Model Decoding,COLM 2025,efficient LLM decoding / stage-specialized model,2508.08446,,https://arxiv.org/abs/2508.08446,,CANONICAL_HIGH_VALUE,BACKFILL_HIGH,Edge / Cloud / Heterogeneous AI
Plato: Plan to Efficient Decode for Large Language Model Inference,COLM 2025,parallel/plan-based LLM decoding,,,https://openreview.net/pdf?id=oGO0fNVWrN,,CANONICAL_HIGH_VALUE,BACKFILL_HIGH,LLM Serving
PyramidKV: Dynamic KV Cache Compression based on Pyramidal Information Funneling,COLM 2025,KV cache compression / long-context inference,2406.02069,,https://arxiv.org/abs/2406.02069,,CANONICAL_HIGH_VALUE,BACKFILL_HIGH,KV Cache / Long Context
SQuat: Subspace-orthogonal KV Cache Quantization,COLM 2025,KV cache quantization,2503.24358,,https://arxiv.org/abs/2503.24358,,CANONICAL_HIGH_VALUE,BACKFILL_HIGH,KV Cache / Long Context; Quantization
X-EcoMLA: Upcycling Pre-Trained Attention into MLA for Efficient and Extreme KV Compression,COLM 2025,KV cache compression / efficient attention architecture,2503.11132,,https://arxiv.org/abs/2503.11132,,CANONICAL_HIGH_VALUE,BACKFILL_HIGH,KV Cache / Long Context; Efficient Attention
Accelerating Autoregressive Video Diffusion via History-Guided Cache and Residual Correction,CVPR 2026,autoregressive video diffusion / caching,,,https://openaccess.thecvf.com/content/CVPR2026/papers/Nan_Accelerating_Autoregressive_Video_Diffusion_via_History-Guided_Cache_and_Residual_Correction_CVPR_2026_paper.pdf,,CANONICAL_HIGH_VALUE,BACKFILL_HIGH,GPU Kernel / DSL / Compiler; Diffusion / Flow Acceleration
Accelerating Diffusion-based Video Editing via Heterogeneous Caching: Beyond Full Computing at Sampled Denoising Timestep,CVPR 2026,video diffusion editing / heterogeneous caching,,,https://openaccess.thecvf.com/content/CVPR2026/papers/Liu_Accelerating_Diffusion-based_Video_Editing_via_Heterogeneous_Caching_Beyond_Full_Computing_CVPR_2026_paper.pdf,,CANONICAL_HIGH_VALUE,BACKFILL_HIGH,GPU Kernel / DSL / Compiler; Diffusion / Flow Acceleration; Edge / Cloud / Heterogeneous AI
Adaptive Spectral Feature Forecasting for Diffusion Sampling Acceleration,CVPR 2026,diffusion/video generation acceleration / spectral feature forecasting / long-range reuse,2603.01623,,https://arxiv.org/abs/2603.01623,https://github.com/hanjq17/Spectrum,CANONICAL_HIGH_VALUE,BACKFILL_HIGH,GPU Kernel / DSL / Compiler; Video / Image Generation; Diffusion / Flow Acceleration
D2Cache: Second-Order Delta Caching for Higher Video Diffusion Acceleration,CVPR 2026,video diffusion / second-order caching,,,https://openaccess.thecvf.com/content/CVPR2026/papers/Liu_D2Cache_Second-Order_Delta_Caching_for_Higher_Video_Diffusion_Acceleration_CVPR_2026_paper.pdf,,CANONICAL_HIGH_VALUE,BACKFILL_HIGH,GPU Kernel / DSL / Compiler; Diffusion / Flow Acceleration
Denoising as Path Planning: Training-Free Acceleration of Diffusion Models with DPCache,CVPR 2026,diffusion / cache scheduling,,,https://openaccess.thecvf.com/content/CVPR2026/papers/Cui_Denoising_as_Path_Planning_Training-Free_Acceleration_of_Diffusion_Models_with_CVPR_2026_paper.pdf,,CANONICAL_HIGH_VALUE,BACKFILL_HIGH,LLM Serving; GPU Kernel / DSL / Compiler; Diffusion / Flow Acceleration
DUET-VLM: Dual stage Unified Efficient Token reduction for VLM Training and Inference,CVPR 2026,VLM training+inference / token reduction,,,https://openaccess.thecvf.com/content/CVPR2026/papers/Singh_DUET-VLM_Dual_stage_Unified_Efficient_Token_reduction_for_VLM_Training_CVPR_2026_paper.pdf,,CANONICAL_HIGH_VALUE,BACKFILL_HIGH,Multimodal / MLLM Serving
"Forecast the Principal, Stabilize the Residual: Subspace-Aware Feature Caching for Diffusion Transformers",CVPR 2026,diffusion / subspace-aware feature caching,,,https://openaccess.thecvf.com/content/CVPR2026/papers/Chen_Forecast_the_Principal_Stabilize_the_Residual_Subspace-Aware_Feature_Caching_for_CVPR_2026_paper.pdf,,CANONICAL_HIGH_VALUE,BACKFILL_HIGH,GPU Kernel / DSL / Compiler; Diffusion / Flow Acceleration
IF-Prune: Information-Flow Guided Token Pruning for Efficient Vision-Language Models,CVPR 2026,VLM inference / token pruning,,,https://openaccess.thecvf.com/content/CVPR2026/papers/Sun_IF-Prune_Information-Flow_Guided_Token_Pruning_for_Efficient_Vision-Language_Models_CVPR_2026_paper.pdf,,CANONICAL_HIGH_VALUE,BACKFILL_HIGH,Sparsity / Pruning; Multimodal / MLLM Serving
Prune2Drive: A Plug-and-Play Framework for Accelerating Vision-Language Models in Autonomous Driving,CVPR 2026,autonomous driving / VLM token pruning / Physical AI,,,https://openaccess.thecvf.com/content/CVPR2026/papers/Xiong_Prune2Drive_A_Plug-and-Play_Framework_for_Accelerating_Vision-Language_Models_in_Autonomous_CVPR_2026_paper.pdf,,CANONICAL_HIGH_VALUE,BACKFILL_PHYSICAL_AI_HIGH,Sparsity / Pruning; Multimodal / MLLM Serving; VLA / WAM / Physical AI
ResCa: Residual Caching for Diffusion Transformers Acceleration,CVPR 2026,diffusion transformer / residual caching,,,https://openaccess.thecvf.com/content/CVPR2026/papers/Fang_ResCa_Residual_Caching_for_Diffusion_Transformers_Acceleration_CVPR_2026_paper.pdf,,CANONICAL_HIGH_VALUE,BACKFILL_HIGH,GPU Kernel / DSL / Compiler; Diffusion / Flow Acceleration
SeaCache: Spectral-Evolution-Aware Cache for Accelerating Diffusion Models,CVPR 2026,diffusion / spectral caching,,,https://openaccess.thecvf.com/content/CVPR2026/papers/Chung_SeaCache_Spectral-Evolution-Aware_Cache_for_Accelerating_Diffusion_Models_CVPR_2026_paper.pdf,,CANONICAL_HIGH_VALUE,BACKFILL_HIGH,GPU Kernel / DSL / Compiler; Diffusion / Flow Acceleration
SenCache: Accelerating Diffusion Model Inference via Sensitivity-Aware Caching,CVPR 2026,diffusion inference / sensitivity-aware caching,,,https://openaccess.thecvf.com/content/CVPR2026/papers/Haghighi_SenCache_Accelerating_Diffusion_Model_Inference_via_Sensitivity-Aware_Caching_CVPR_2026_paper.pdf,,CANONICAL_HIGH_VALUE,BACKFILL_HIGH,GPU Kernel / DSL / Compiler; Diffusion / Flow Acceleration
TransPrune: Token Transition Pruning for Efficient Large Vision-Language Model,CVPR 2026,VLM inference / token pruning,,,https://openaccess.thecvf.com/content/CVPR2026/papers/Li_TransPrune_Token_Transition_Pruning_for_Efficient_Large_Vision-Language_Model_CVPR_2026_paper.pdf,,CANONICAL_HIGH_VALUE,BACKFILL_HIGH,Sparsity / Pruning; Multimodal / MLLM Serving
VLM-Pruner: Buffering for Spatial Sparsity in an Efficient VLM Centrifugal Token Pruning Paradigm,CVPR 2026,VLM inference / visual token pruning,,,https://openaccess.thecvf.com/content/CVPR2026/papers/Wu_VLM-Pruner_Buffering_for_Spatial_Sparsity_in_an_Efficient_VLM_Centrifugal_CVPR_2026_paper.pdf,,CANONICAL_HIGH_VALUE,BACKFILL_HIGH,Sparsity / Pruning; Multimodal / MLLM Serving
ZOO-Prune: Training-Free Token Pruning via Zeroth-Order Gradient Estimation in Vision-Language Models,CVPR 2026,VLM inference / training-free visual-token pruning / zeroth-order sensitivity,,,https://openaccess.thecvf.com/content/CVPR2026/papers/Kim_ZOO-Prune_Training-Free_Token_Pruning_via_Zeroth-Order_Gradient_Estimation_in_Vision-Language_Models_CVPR_2026_paper.pdf,https://github.com/AIM-SKKU/ZOO-Prune,CANONICAL_HIGH_VALUE,BACKFILL_HIGH,LLM Serving; Sparsity / Pruning; Multimodal / MLLM Serving
